課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資,開課時間,建議學習時間,學習時長,課程相關總描述,課程技能總覽
Inteligência Artificial para Logística,5 out of 5 stars,17 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/inteligencia-artificial-para-logistica,4 modules,"Automation, Internet Of Things, Warehouse Management, Artificial Intelligence, Logistics, Transportation Management, Logistics Management, Strategic Planning, Supply Chain, Inventory and Warehousing",GestÃ£o LogÃ­stica | Planejamento LogÃ­stico | Sistemas LogÃ­sticos | InteligÃªncia Artificial e Internet das Coisas,"Aluizio Faria, FundaÃ§Ã£o Instituto de AdministraÃ§Ã£o",Starts Jul 17,33 hours to complete,,"Inteligência Artificial para Logística
Automation, Internet Of Things, Warehouse Management, Artificial Intelligence, Logistics, Transportation Management, Logistics Management, Strategic Planning, Supply Chain, Inventory and Warehousing
GestÃ£o LogÃ­stica | Planejamento LogÃ­stico | Sistemas LogÃ­sticos | InteligÃªncia Artificial e Internet das Coisas","人工智慧（Artificial Intelligence）: 學習機器學習演算法、深度學習模型、預測分析與決策支援;  
物聯網（Internet of Things, IoT）: 掌握感測器資料收集、資料傳輸協定、設備連接與資料整合;  
倉儲管理（Warehouse Management）: 熟悉倉庫作業流程、庫存追蹤系統、條碼掃描與自動化設備;  
物流管理（Logistics Management）: 理解運輸規劃、配送路線優化、貨物追蹤系統;  
運輸管理（Transportation Management）: 學習運輸排程、運費計算、車輛調度與路線規劃;  
供應鏈管理（Supply Chain）: 掌握供應鏈流程、供應商協調、需求預測與庫存管理;  
庫存與倉儲（Inventory and Warehousing）: 熟悉庫存控制、存貨預測、倉儲系統整合與自動化技術;  
策略規劃（Strategic Planning）: 學習長期物流策略制定、數據驅動決策模型與風險管理;  
物流系統（Logistics Systems）: 理解物流資訊系統架構、ERP整合、資料庫管理與流程自動化;"
Valuing nature and people to inform business decision-making,4.7 out of 5 stars,52 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/valuing-nature-and-people-to-inform-business-decision-making,4 modules,"Risk Management, Data Collection, Business Communication, Environmental Social And Corporate Governance (ESG), Problem Solving, Stakeholder Engagement, Business Risk Management, Corporate Sustainability, Project Scoping, Sustainability Reporting, Human Capital, Decision Making, Business Metrics, Natural Resource Management, Cost Benefit Analysis","The Role of Businesses in Addressing the Great Challenges of Nature Loss, Climate Change and Inequality | Better Managing Risks and Opportunities by Adopting a Capitals Approach | Getting Started with a Natural Capital Assessment: Defining the Objective and Determining the Appropriate Scope | Measuring and Valuing Impacts and Dependencies to Integrate Natural Capital in Decision-Making","Tim Polaszek, Martine van Weelden, Capitals Coalition",Starts Jul 18,19 hours to complete,,"Valuing nature and people to inform business decision-making
Risk Management, Data Collection, Business Communication, Environmental Social And Corporate Governance (ESG), Problem Solving, Stakeholder Engagement, Business Risk Management, Corporate Sustainability, Project Scoping, Sustainability Reporting, Human Capital, Decision Making, Business Metrics, Natural Resource Management, Cost Benefit Analysis
The Role of Businesses in Addressing the Great Challenges of Nature Loss, Climate Change and Inequality | Better Managing Risks and Opportunities by Adopting a Capitals Approach | Getting Started with a Natural Capital Assessment: Defining the Objective and Determining the Appropriate Scope | Measuring and Valuing Impacts and Dependencies to Integrate Natural Capital in Decision-Making","資料分析與數據管理（Data Analysis and Data Management）:學習資料收集、風險管理、企業指標、成本效益分析的資料處理與分析技巧;  
企業永續與ESG（Corporate Sustainability and ESG）:掌握永續報告、企業社會責任、環境、社會與公司治理的相關指標與報告方法;  
風險管理（Risk Management）:理解企業風險評估、風險控制策略與風險監控工具;  
決策分析（Decision Making）:應用數據驅動的決策模型與分析方法來支援商業決策;  
利害關係人管理（Stakeholder Engagement）:學習如何分析與管理不同利害關係人的需求與影響;  
自然資源與自然資本評估（Natural Resource and Capital Assessment）:掌握自然資本的定義、範疇界定、價值評估與在決策中的應用;  
環境與社會影響評估（Environmental and Social Impact Assessment）:學習如何衡量與價值化自然資本的影響與依賴;  
企業風險管理（Business Risk Management）:理解企業面臨的各類風險，並運用工具進行風險評估與控制;  
可持續性報告（Sustainability Reporting）:掌握國際標準（如GRI、SASB）在永續報告中的應用;  
項目範疇界定（Project Scoping）:學習如何界定永續相關專案的範圍與目標;  
資源管理（Natural Resource Management）:理解資源的有效利用與管理策略;  
成本效益分析（Cost Benefit Analysis）:學習評估方案經濟效益的方法與工具;  
數據驅動的風險與機會管理（Data-Driven Risk and Opportunity Management）:應用數據分析來識別與管理商業中的風險與機會;"
Linear Regression Modeling for Health Data,,,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/linear-regression-modeling-health-data,3 modules,"Probability & Statistics, Data Analysis, Predictive Modeling, Statistical Modeling, Statistical Methods, Regression Analysis, Statistical Hypothesis Testing, Statistical Analysis, Statistical Inference, Correlation Analysis",Principles of Statistical Modeling | Simple Linear Regression | Multiple Linear Regression,"Philip S. Boonstra, Bhramar Mukherjee, University of Michigan",Starts Jul 19,Flexible schedule,Learn at your own pace,"Linear Regression Modeling for Health Data
Probability & Statistics, Data Analysis, Predictive Modeling, Statistical Modeling, Statistical Methods, Regression Analysis, Statistical Hypothesis Testing, Statistical Analysis, Statistical Inference, Correlation Analysis
Principles of Statistical Modeling | Simple Linear Regression | Multiple Linear Regression","線性回歸模型（Linear Regression Modeling for Health Data）:建立與評估線性回歸模型;應用於健康資料預測與分析;
機率與統計（Probability & Statistics）:掌握基本機率理論與統計推論方法;
資料分析（Data Analysis）:資料清理、資料探索與描述性統計;
預測模型（Predictive Modeling）:建立預測模型以預測健康相關變數;
統計建模（Statistical Modeling）:設計與實作統計模型來描述資料特性;
統計方法（Statistical Methods）:應用各種統計技術進行資料分析;
迴歸分析（Regression Analysis）:建立與解釋單變數與多變數迴歸模型;
統計假設檢定（Statistical Hypothesis Testing）:進行假設檢定以驗證資料假設;
統計分析（Statistical Analysis）:進行資料的描述性與推論性分析;
統計推論（Statistical Inference）:從樣本資料推估母體參數;
相關分析（Correlation Analysis）:分析變數之間的相關性;
統計建模原理（Principles of Statistical Modeling）:理解統計模型的基本原理與假設;
簡單線性回歸（Simple Linear Regression）:建立一元線性回歸模型; 
多元線性回歸（Multiple Linear Regression）:建立多變數線性回歸模型"
Copilot for Cybersecurity,4.7 out of 5 stars,24 reviews,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/copilot-for-cybersecurity,1 module,"Cybersecurity, System Monitoring, Prompt Engineering, Microsoft Copilot, Deep Learning, Artificial Intelligence and Machine Learning (AI/ML), Image Analysis, Threat Detection, Generative AI, Artificial Intelligence, Emerging Technologies, Data Ethics",Copilot for Cybersecurity,,Starts Jul 19,2 hours to complete,,"Copilot for Cybersecurity
Cybersecurity, System Monitoring, Prompt Engineering, Microsoft Copilot, Deep Learning, Artificial Intelligence and Machine Learning (AI/ML), Image Analysis, Threat Detection, Generative AI, Artificial Intelligence, Emerging Technologies, Data Ethics
Copilot for Cybersecurity","網路安全（Cybersecurity）:了解資安威脅與攻擊手法;  
系統監控（System Monitoring）:掌握監控工具設定與異常偵測;  
提示工程（Prompt Engineering）:設計有效的提示詞以提升 AI 模型的輸出品質;  
微軟 Copilot（Microsoft Copilot）:熟悉微軟 Copilot 的整合應用與操作流程;  
深度學習（Deep Learning）:理解神經網路架構、訓練流程與模型調整;  
人工智慧與機器學習（AI/ML）:掌握基本概念、模型建立、訓練與評估;  
影像分析（Image Analysis）:應用電腦視覺技術進行圖像特徵提取與辨識;  
威脅偵測（Threat Detection）:利用 AI/ML 技術進行異常行為與攻擊行為的辨識;  
生成式 AI（Generative AI）:學習生成模型的原理與應用，如內容生成與模擬;  
新興技術（Emerging Technologies）:了解最新的資安相關技術與應用趨勢;  
資料倫理（Data Ethics）:掌握資料使用的倫理原則與隱私保護措施;"
Global Business Communication,,,Intermediate · Specialization · 1 - 4 Weeks,https://www.coursera.org/specializations/global-business-communication,,"Communication, Writing, Sales Strategy, Customer Relationship Management (CRM) Software, Storytelling, Active Listening, Technical Communication, Rapport Building, Sales Presentation, Concision, Sales, Business Communication",Mastering Active Listening in the Global Workplace | Business Writing & Technical Writing Immersion | Master Data Storytelling for B2B & B2C Sales,"JoÃ£o Freitas, Eric Zackrison, Andreas Loizou",Starts Jul 18,Flexible schedule,Learn at your own pace,"Global Business Communication
Communication, Writing, Sales Strategy, Customer Relationship Management (CRM) Software, Storytelling, Active Listening, Technical Communication, Rapport Building, Sales Presentation, Concision, Sales, Business Communication
Mastering Active Listening in the Global Workplace | Business Writing & Technical Writing Immersion | Master Data Storytelling for B2B & B2C Sales","商業溝通技巧（Business Communication Skills）:學習商業信件撰寫、口頭表達、商務簡報技巧;  
銷售策略（Sales Strategy）:理解銷售流程、策略規劃與執行;  
客戶關係管理軟體（Customer Relationship Management (CRM) Software）:操作與應用CRM系統進行客戶資料管理與追蹤;  
故事敘述（Storytelling）:學習如何運用故事傳達價值與建立品牌形象;  
積極傾聽（Active Listening）:提升聆聽技巧、理解客戶需求與建立信任;  
技術溝通（Technical Communication）:撰寫專業技術文件、說明書與商業報告;  
商務寫作（Business Writing）:掌握商務信件、報告與提案的撰寫技巧;  
資料故事敘述（Data Storytelling）:運用資料視覺化與敘事技巧將數據轉化為易懂的商業故事;  
銷售簡報（Sales Presentation）:設計並呈現有說服力的銷售簡報;  
簡潔表達（Concision）:提升文字與口頭表達的精煉與效率;"
Responsible AI: Applying AI Principles with GC - Polski,,,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/responsible-ai-applying-ai-principles-with-google-cloud-pl,7 modules,"Decision Making, Auditing, Business Ethics, Data Ethics, Accountability, Generative AI, Compliance Management, Ethical Standards And Conduct, Google Cloud Platform, Governance, Artificial Intelligence",WstÄp | KorzyÅci z wprowadzenia odpowiedzialnej AI w firmie | WzglÄdy techniczne i etyczne dotyczÄce sztucznej inteligencji | Tworzenie zasad dotyczÄcych AI | WdraÅ¼anie zasad dotyczÄcych AI: organizowanie i przeprowadzanie kontroli | WdraÅ¼anie zasad dotyczÄcych AI: rozpoznawanie problemÃ³w i wnioski na przyszÅoÅÄ | Dalsza droga ku odpowiedzialnej AI,"Google Cloud Training, Google Cloud",Starts Jul 19,Flexible schedule,Learn at your own pace,"Responsible AI: Applying AI Principles with GC - Polski
Decision Making, Auditing, Business Ethics, Data Ethics, Accountability, Generative AI, Compliance Management, Ethical Standards And Conduct, Google Cloud Platform, Governance, Artificial Intelligence
WstÄp | KorzyÅci z wprowadzenia odpowiedzialnej AI w firmie | WzglÄdy techniczne i etyczne dotyczÄce sztucznej inteligencji | Tworzenie zasad dotyczÄcych AI | WdraÅ¼anie zasad dotyczÄcych AI: organizowanie i przeprowadzanie kontroli | WdraÅ¼anie zasad dotyczÄcych AI: rozpoznawanie problemÃ³w i wnioski na przyszÅoÅÄ | Dalsza droga ku odpowiedzialnej AI","負責任的人工智慧（Responsible AI）: 學習AI原則的應用與實踐 (Applying AI Principles with GC); 理解AI倫理、合規管理、治理架構 (Decision Making, Auditing, Business Ethics, Data Ethics, Accountability, Governance); 掌握生成式AI的運用與倫理考量 (Generative AI); 熟悉Google Cloud Platform在AI治理中的應用與管理 (Google Cloud Platform); 建立AI相關的倫理標準與行為守則 (Ethical Standards And Conduct); 了解AI決策的審核流程與監控方法 (Auditing, Decision Making); 掌握AI合規性管理策略與實務 (Compliance Management); 了解AI在企業中的技術與倫理層面考量 (WzglÄdy techniczne i etyczne dotyczÄce sztucznej inteligencji); 制定與執行AI相關的規範與控制措施 (Tworzenie zasad dotyczÄcych AI, Wdrażanie zasad dotyczÄcych AI); 進行AI問題識別與未來改善策略 (rozpoznawanie problemów i wnioski na przyszłość); 學習推動企業向負責任AI轉型的策略與實務 (Dalsza droga ku odpowiedzialnej AI)"
Using Animations and Transitions in Microsoft PowerPoint,4.6 out of 5 stars,10 reviews,Intermediate · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/using-animations-and-transitions-in-microsoft-powerpoint,,"Data Literacy, Business Strategy, Data Visualization, Communication",,"Kim Webb, Coursera Project Network",,2 hours,Learn at your own pace,"Using Animations and Transitions in Microsoft PowerPoint
Data Literacy, Business Strategy, Data Visualization, Communication
nan","Microsoft PowerPoint（PowerPoint）:學習動畫效果設定、轉場效果應用;  
資料素養（Data Literacy）:理解資料的基本概念、資料解讀與分析能力;  
商業策略（Business Strategy）:掌握策略思考框架、策略制定流程;  
資料視覺化（Data Visualization）:運用圖表與圖形呈現資料、提升視覺傳達效果;  
溝通技巧（Communication）:有效傳達資料與策略內容，提升簡報說服力;"
Enabling Sensitive Data Protection Discovery for BigQuery,,,Intermediate · Project · Less Than 2 Hours,https://www.coursera.org/projects/googlecloud-enabling-sensitive-data-protection-discovery-for-bigquery-yu1ce,,"Data Loss Prevention, Big Data, Google Cloud Platform, Identity and Access Management, Data Security, Data Management, Personally Identifiable Information",,"Google Cloud Training, Google Cloud",,Hands-on learning,Learn more,"Enabling Sensitive Data Protection Discovery for BigQuery
Data Loss Prevention, Big Data, Google Cloud Platform, Identity and Access Management, Data Security, Data Management, Personally Identifiable Information
nan","資料保護與資料安全（Data Protection and Security）:學習敏感資料保護的原理與策略;  
大數據技術（Big Data）:掌握大數據處理架構與應用;  
Google Cloud Platform（GCP）:熟悉Google Cloud平台的服務與管理;  
BigQuery:了解大規模資料查詢與分析技術;  
資料遺失預防（Data Loss Prevention, DLP）:學習資料敏感性識別、資料遮罩與資料保護策略;  
身分與存取管理（Identity and Access Management, IAM）:掌握存取權限設定與安全策略;  
個人識別資訊（Personally Identifiable Information, PII）:了解PII的定義、識別方法與保護措施;"
Data Science Decisions in Time: Information Theory & Games,,,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/information-theory-and-games,6 modules,"Data-Driven Decision-Making, Game Theory, Algorithms, Artificial Intelligence, Reinforcement Learning, Cybersecurity, Data Science, Machine Learning",Dynamically Changing Environments and Game Theory | Cooperative Games: How to Make Decisions with Missing and Ambiguous Information | Predicting and Understanding Your Game Opponents | Sequential Social Environments: Optimal Play | Seeing Relevant Information - Avoiding Distribution Shifts and Being Relevant | Untitled Module,"Thomas Woolf, Johns Hopkins University",Starts Jul 19,Flexible schedule,Learn at your own pace,"Data Science Decisions in Time: Information Theory & Games
Data-Driven Decision-Making, Game Theory, Algorithms, Artificial Intelligence, Reinforcement Learning, Cybersecurity, Data Science, Machine Learning
Dynamically Changing Environments and Game Theory | Cooperative Games: How to Make Decisions with Missing and Ambiguous Information | Predicting and Understanding Your Game Opponents | Sequential Social Environments: Optimal Play | Seeing Relevant Information - Avoiding Distribution Shifts and Being Relevant | Untitled Module","資料科學（Data Science）:資料收集與探索性分析 (EDA) 技能;資料視覺化與資料前處理技巧;資料模型建立與評估方法;  
資訊理論（Information Theory）:資訊量計算、熵與互資訊的概念;資料壓縮與訊息傳遞效率分析;  
遊戲理論（Game Theory）:合作與非合作博弈模型;策略均衡分析;納什均衡與子博弈完美均衡;  
演算法（Algorithms）:搜尋策略與最佳化演算法;圖搜尋與排序技巧;  
人工智慧（Artificial Intelligence）:智能決策系統設計;狀態空間搜尋;策略規劃;  
強化學習（Reinforcement Learning）:價值函數估計;策略學習與探索策略;Q-learning與深度強化學習;  
網路安全（Cybersecurity）:威脅偵測技術;資料加密與存取控制;安全漏洞分析;  
機器學習（Machine Learning）:監督式學習、非監督式學習與半監督學習;模型訓練與驗證;特徵工程與模型調參;  
動態環境與遊戲策略（Dynamically Changing Environments and Game Theory）:環境變化下的策略調整;多代理系統中的合作與競爭;  
缺失與模糊資訊決策（Decisions with Missing and Ambiguous Information）:資料不完整與不確定性建模;貝葉斯推論;  
預測與理解對手（Predicting and Understanding Opponents）:對手行為建模;預測模型建立;  
序列社會環境（Sequential Social Environments）:序列決策與策略演化;合作與競爭的動態分析;  
相關資訊辨識（Seeing Relevant Information）:特徵選擇與資訊過濾;分布轉移（Distribution Shifts）偵測與適應;資訊相關性判斷;"
An Introduction to Practical Deep Learning,4.3 out of 5 stars,149 reviews,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/intro-practical-deep-learning,,,,,,,,"An Introduction to Practical Deep Learning
nan
nan",深度學習（Deep Learning）: 理解深度學習的基本概念與架構; 熟悉常用神經網路模型如卷積神經網路（CNN）與循環神經網路（RNN）; 掌握模型訓練、調參與驗證技巧; 了解深度學習框架如TensorFlow或PyTorch的基本操作與應用; 學習資料預處理與資料增強技術; 了解模型評估指標與過擬合防止策略;
React Basics,4.7 out of 5 stars,2.4K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/react-basics,4 modules,"Hypertext Markup Language (HTML), React.js, Web Applications, Cascading Style Sheets (CSS), Development Environment, Javascript, Event-Driven Programming, Front-End Web Development, Mobile Development, Application Development, UI Components","React Components | Data and State | Navigation, Updating and Assets in React.js | Your first React app",Taught by Meta Staff,Starts Jul 19,Flexible schedule,Approx. 30 hours.Learn at your own pace,"React Basics
Hypertext Markup Language (HTML), React.js, Web Applications, Cascading Style Sheets (CSS), Development Environment, Javascript, Event-Driven Programming, Front-End Web Development, Mobile Development, Application Development, UI Components
React Components | Data and State | Navigation, Updating and Assets in React.js | Your first React app","React 基礎（React Basics）:學習 React.js 的基本概念與架構;  
超文本標記語言（Hypertext Markup Language, HTML）:掌握網頁結構與元素標記;  
CSS（Cascading Style Sheets）:學習樣式設計與佈局調整;  
JavaScript（Javascript）:掌握基本語法、事件處理與資料操作;  
事件驅動程式設計（Event-Driven Programming）:理解事件監聽與回呼函數;  
前端網頁開發（Front-End Web Development）:整合 HTML、CSS、JavaScript 進行前端設計;  
Web 應用程式（Web Applications）:了解 Web 應用的架構與流程;  
開發環境（Development Environment）:設定與使用開發工具與流程;  
移動端開發（Mobile Development）:理解 React 在行動裝置上的應用;  
應用程式開發（Application Development）:掌握 React 建立完整應用的流程;  
UI 元件（UI Components）:設計與使用 React 元件模組;  
React 元件（React Components）:建立與管理可重用的 UI 元件;  
資料與狀態（Data and State）:管理元件資料流與狀態變化;  
導航（Navigation）:實作多頁面或多元內容的導覽功能;  
更新與資產（Updating and Assets in React.js）:處理資料更新、資源載入與管理;  
第一個 React 應用（Your first React app）:從零建立並運行第一個 React 應用程式;"
Cryptography,4.6 out of 5 stars,1.3K reviews,Mixed · Course · 1 - 3 Months,https://www.coursera.org/learn/cryptography,7 modules,"Algorithms, Encryption, Public Key Cryptography Standards (PKCS), Authentications, Cryptography, Data Integrity, Cybersecurity, Digital Communications, Network Security",Week 1 | Week 2 | Week 3 | Week 4 | Week 5 | Week 6 | Week 7,"Jonathan  Katz, University of Maryland, College Park",Starts Jul 19,Flexible schedule,Learn at your own pace,"Cryptography
Algorithms, Encryption, Public Key Cryptography Standards (PKCS), Authentications, Cryptography, Data Integrity, Cybersecurity, Digital Communications, Network Security
Week 1 | Week 2 | Week 3 | Week 4 | Week 5 | Week 6 | Week 7","密碼學（Cryptography）:理解對稱與非對稱加密技術;掌握加密演算法與解密流程;學習數位簽章與訊息驗證方法;了解資料完整性保護技術;熟悉密碼學標準與協定（如PKCS）;掌握數位簽章與驗證流程;理解密碼學在網路安全中的應用;

演算法（Algorithms）:學習常用資料結構與演算法設計;掌握排序、搜尋、圖論與遞迴等基本演算法;理解演算法的時間與空間複雜度分析;

加密（Encryption）:掌握對稱與非對稱加密技術;理解加密流程與金鑰管理;學習常見加密演算法（如AES、RSA）;

公開金鑰基礎設施（Public Key Cryptography Standards, PKCS）:熟悉PKCS標準規範;理解數位簽章、憑證管理與金鑰交換流程;

認證（Authentications）:掌握身份驗證技術;學習多因素驗證方法;理解數位證書與憑證驗證流程;

資料完整性（Data Integrity）:理解雜湊函數（Hash Functions）;掌握訊息驗證碼（MAC）;學習數位簽章技術;

網路安全（Network Security）:熟悉防火牆、入侵偵測系統（IDS）、入侵防禦系統（IPS）;理解VPN、SSL/TLS協定;掌握安全通訊與資料傳輸保護技術;

數位通訊（Digital Communications）:理解數位信號傳輸與編碼技術;學習錯誤檢測與修正（如CRC、FEC）;掌握資料傳輸的安全性與效率;

網路安全（Network Security）:（重複）掌握網路安全架構與協定;理解攻擊手法與對應防禦策略;學習安全漏洞分析與防範技術;"
AWS AI Practitioner,,,Beginner · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/aws-certified-ai-practitioner,,"Artificial Intelligence, Artificial Neural Networks, Generative AI, Natural Language Processing, AWS Identity and Access Management (IAM), Large Language Modeling, Data Wrangling, Supervised Learning, Data Governance, OpenAI, Computer Vision, Deep Learning",Introduction to AI and Machine Learning | AWS Tools and Services for AI | Responsible AI with AWS Security and Governance,,Starts Jul 19,Flexible schedule,Learn at your own pace,"AWS AI Practitioner
Artificial Intelligence, Artificial Neural Networks, Generative AI, Natural Language Processing, AWS Identity and Access Management (IAM), Large Language Modeling, Data Wrangling, Supervised Learning, Data Governance, OpenAI, Computer Vision, Deep Learning
Introduction to AI and Machine Learning | AWS Tools and Services for AI | Responsible AI with AWS Security and Governance","AWS AI Practitioner（AWS AI 實務應用）: 熟悉AWS雲端平台上的AI服務與工具; 了解AWS AI相關服務的整合與部署流程; 掌握AWS安全與治理策略以確保AI應用的合規性;  
人工神經網路（Artificial Neural Networks）: 理解神經元結構、前向傳播、反向傳播原理; 應用於深度學習模型的建立與訓練;  
生成式AI（Generative AI）: 了解生成模型的原理與應用; 掌握GANs、Transformer模型的基本概念;  
自然語言處理（Natural Language Processing, NLP）: 進行文字預處理、語言模型訓練與應用; 熟悉語意理解、文本分類、命名實體辨識等技術;  
大型語言模型（Large Language Modeling）: 理解Transformer架構; 學習模型微調與應用;  
資料處理（Data Wrangling）: 進行資料清洗、轉換與整合; 熟悉資料前處理工具與技巧;  
監督式學習（Supervised Learning）: 應用分類與回歸模型; 理解模型訓練、驗證與測試流程;  
資料治理（Data Governance）: 了解資料管理政策與合規性; 掌握資料存取控制與安全措施;  
OpenAI技術（OpenAI）: 熟悉OpenAI API與模型應用; 了解GPT等模型的使用範例與限制;  
電腦視覺（Computer Vision）: 進行圖像與影片分析; 掌握物件偵測、圖像分類、特徵提取技術;  
深度學習（Deep Learning）: 理解深度神經網路架構; 學習模型訓練、優化與調整技巧;  
AWS工具與服務（AWS Tools and Services for AI）: 掌握AWS SageMaker、Rekognition、Comprehend等服務的應用;  
負責任的AI（Responsible AI with AWS Security and Governance）: 了解AI倫理、安全性與偏見控制措施; 學習建立公平、透明的AI系統;"
User Experience & Interaction Design for AR/VR/MR/XR,4.7 out of 5 stars,172 reviews,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/user-experience-interaction-design-augmented-virtual-mixed-extended-reality,4 modules,"Virtual Reality, Conceptual Design, User Research, Storyboarding, Wireframing, Data Ethics, Interaction Design, Usability Testing, Augmented and Virtual Reality (AR/VR), Prototyping, Human Centered Design, User Experience Design, Augmented Reality, Design Thinking, Virtual Environment","XR Design Process | Design Thinking, Ethics, and Guidelines for XR | Storyboarding & Physical Prototyping for XR Experiences | Digital Prototyping & Evaluation of XR Experiences","Michael Nebeling, University of Michigan",Starts Jul 19,Flexible schedule,Approx. 27 hours.Learn at your own pace,"User Experience & Interaction Design for AR/VR/MR/XR
Virtual Reality, Conceptual Design, User Research, Storyboarding, Wireframing, Data Ethics, Interaction Design, Usability Testing, Augmented and Virtual Reality (AR/VR), Prototyping, Human Centered Design, User Experience Design, Augmented Reality, Design Thinking, Virtual Environment
XR Design Process | Design Thinking, Ethics, and Guidelines for XR | Storyboarding & Physical Prototyping for XR Experiences | Digital Prototyping & Evaluation of XR Experiences","擴增實境與虛擬實境設計（AR/VR/MR/XR Design）:學習XR設計流程、設計思維、倫理與指南; 進行XR體驗的故事板繪製與實體原型製作;數位原型製作與評估;人本設計理念應用;用戶體驗設計流程與原則;  
用戶研究（User Research）:進行用戶需求分析與行為觀察;  
故事板（Storyboarding）:視覺化設計XR體驗流程;  
線框圖（Wireframing）:設計XR界面與互動流程;  
資料倫理（Data Ethics）:理解數據收集與使用的倫理考量;  
互動設計（Interaction Design）:設計XR中的用戶交互方式;  
可用性測試（Usability Testing）:評估XR體驗的易用性與用戶滿意度;  
原型製作（Prototyping）:快速建立XR體驗模型;  
人本設計（Human Centered Design）:以用戶為中心進行XR設計;  
設計思維（Design Thinking）:運用創新與問題解決策略於XR設計流程;  
虛擬環境（Virtual Environment）:建立與模擬XR中的虛擬空間;  
數位原型（Digital Prototyping）:利用數位工具快速驗證XR設計概念;  
XR體驗評估（Evaluation of XR Experiences）:分析與改進XR體驗的效果與用戶反饋;"
Art & Inquiry: Museum Teaching Strategies For Your Classroom,4.8 out of 5 stars,514 reviews,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/artinquiry,5 modules,"Social Studies, Discussion Facilitation, Emotional Intelligence, Instructional Strategies, Teaching, Literacy, Learning Styles, Creativity, Curriculum Planning, Liberal Arts, Self-Awareness, Empathy, Student Engagement","Module 1: Introduction to Inquiry | Why Engage in Inquiry Around Art? | Module 2: Close Looking and Open-Ended Inquiry | Module 3: Art, Inquiry, and Social Emotional Learning | Module 4:  Activities as Inquiry | Module 5: Putting it all Together | Making Connections Across Curriculum","Larissa Raphael, Francis Estrada, Lisa Mazzola, The Museum of Modern Art",Starts Jul 17,Flexible schedule,Approx. 13 hours.Learn at your own pace,"Art & Inquiry: Museum Teaching Strategies For Your Classroom
Social Studies, Discussion Facilitation, Emotional Intelligence, Instructional Strategies, Teaching, Literacy, Learning Styles, Creativity, Curriculum Planning, Liberal Arts, Self-Awareness, Empathy, Student Engagement
Module 1: Introduction to Inquiry | Why Engage in Inquiry Around Art? | Module 2: Close Looking and Open-Ended Inquiry | Module 3: Art, Inquiry, and Social Emotional Learning | Module 4:  Activities as Inquiry | Module 5: Putting it all Together | Making Connections Across Curriculum","藝術與探究（Art & Inquiry）:學習博物館教學策略在課堂中的應用;  
社會科學（Social Studies）:理解社會科學的基本概念與應用;  
討論引導（Discussion Facilitation）:掌握引導學生討論技巧與策略;  
情緒智商（Emotional Intelligence）:認識情緒管理與同理心的基本原則;  
教學策略（Instructional Strategies）:設計有效的教學活動與課程;  
識字能力（Literacy）:提升學生的閱讀與理解能力;  
學習風格（Learning Styles）:辨識不同學生的學習偏好與策略;  
創造力（Creativity）:激發學生的創意思考與表達;  
課程規劃（Curriculum Planning）:設計跨領域整合的課程內容;  
人文藝術（Liberal Arts）:理解人文藝術在教育中的角色與價值;  
自我認知（Self-Awareness）:提升教師與學生的自我反思能力;  
同理心（Empathy）:培養理解他人情感的能力;  
學生參與（Student Engagement）:運用策略提升學生的學習動機與參與度;  
探究活動（Activities as Inquiry）:設計並實施以探究為核心的學習活動;  
跨課程連結（Making Connections Across Curriculum）:整合不同學科內容，促進整體學習經驗;"
